"","Var1","Freq"
"418","417",28
"419","418",28
"420","419",29
"421","420",38
"422","421",27
"423","422",35
"424","423",24
"425","424",19
"426","425",30
"427","426",27
"428","427",36
"429","428",29
"430","429",28
"431","430",24
"432","431",32
"433","432",34
"434","433",26
"435","434",18
"436","435",24
"437","436",23
"438","437",27
"439","438",24
"440","439",24
"441","440",14
"442","441",20
"443","442",29
"444","443",21
"445","444",21
"446","445",40
"447","446",35
"448","447",21
"449","448",20
"450","449",31
"451","450",17
"452","451",21
"453","452",26
"454","453",22
"455","454",23
"456","455",28
"457","456",27
"458","457",20
"459","458",18
"460","459",22
"461","460",29
"462","461",21
"463","462",28
"464","463",22
"465","464",29
"466","465",29
"467","466",24
"468","467",28
"469","468",14
"470","469",14
"471","470",26
"472","471",27
"473","472",28
"474","473",24
"475","474",20
"476","475",28
"477","476",19
"478","477",20
"479","478",16
"480","479",28
"481","480",20
"482","481",17
"483","482",20
"484","483",26
"485","484",15
"486","485",29
"487","486",18
"488","487",19
"489","488",16
"490","489",24
"491","490",20
"492","491",21
"493","492",20
"494","493",23
"495","494",19
"496","495",18
"497","496",12
"498","497",12
"499","498",23
"500","499",13
"501","500",23
"502","501",20
"503","502",19
"504","503",20
"505","504",29
"506","505",13
"507","506",18
"508","507",19
"509","508",19
"510","509",22
"511","510",18
"512","511",17
"513","512",14
"514","513",19
"515","514",20
"516","515",24
"517","516",11
"518","517",21
"519","518",20
"520","519",14
"521","520",25
"522","521",16
"523","522",15
"524","523",22
"525","524",19
"526","525",14
"527","526",18
"528","527",14
"529","528",24
"530","529",17
"531","530",20
"532","531",24
"533","532",23
"534","533",11
"535","534",17
"536","535",17
"537","536",22
"538","537",16
"539","538",11
"540","539",12
"541","540",11
"542","541",22
"543","542",17
"544","543",25
"545","544",20
"546","545",12
"547","546",16
"548","547",12
"549","548",14
"550","549",14
"551","550",12
"552","551",18
"553","552",13
"554","553",17
"555","554",23
"556","555",8
"557","556",12
"558","557",10
"559","558",15
"560","559",19
"561","560",12
"562","561",15
"563","562",19
"564","563",17
"565","564",15
"566","565",18
"567","566",15
"568","567",16
"569","568",12
"570","569",14
"571","570",16
"572","571",8
"573","572",11
"574","573",8
"575","574",23
"576","575",9
"577","576",17
"578","577",17
"579","578",15
"580","579",19
"581","580",14
"582","581",8
"583","582",14
"584","583",12
"585","584",11
"586","585",16
"587","586",12
"588","587",12
"589","588",16
"590","589",14
"591","590",16
"592","591",14
"593","592",11
"594","593",14
"595","594",9
"596","595",12
"597","596",10
"598","597",14
"599","598",7
"600","599",13
"601","600",12
"602","601",11
"603","602",8
"604","603",14
"605","604",24
"606","605",16
"607","606",15
"608","607",15
"609","608",15
"610","609",15
"611","610",10
"612","611",20
"613","612",14
"614","613",9
"615","614",11
"616","615",11
"617","616",10
"618","617",11
"619","618",18
"620","619",13
"621","620",11
"622","621",7
"623","622",15
"624","623",15
"625","624",14
"626","625",16
"627","626",10
"628","627",9
"629","628",9
"630","629",12
"631","630",14
"632","631",8
"633","632",16
"634","633",18
"635","634",11
"636","635",11
"637","636",13
"638","637",12
"639","638",17
"640","639",10
"641","640",10
"642","641",15
"643","642",10
"644","643",12
"645","644",13
"646","645",15
"647","646",7
"648","647",8
"649","648",9
"650","649",10
"651","650",13
"652","651",14
"653","652",13
"654","653",11
"655","654",12
"656","655",8
"657","656",8
"658","657",11
"659","658",10
"660","659",11
"661","660",9
"662","661",14
"663","662",11
"664","663",9
"665","664",10
"666","665",11
"667","666",10
"668","667",13
"669","668",11
"670","669",8
"671","670",8
"672","671",9
"673","672",6
"674","673",11
"675","674",12
"676","675",8
"677","676",17
"678","677",4
"679","678",10
"680","679",9
"681","680",10
"682","681",8
"683","682",8
"684","683",4
"685","684",6
"686","685",7
"687","686",13
"688","687",8
"689","688",5
"690","689",7
"691","690",13
"692","691",11
"693","692",12
"694","693",10
"695","694",6
"696","695",10
"697","696",12
"698","697",8
"699","698",11
"700","699",13
"701","700",15
"702","701",8
"703","702",8
"704","703",10
"705","704",8
"706","705",11
"707","706",11
"708","707",8
"709","708",5
"710","709",12
"711","710",4
"712","711",7
"713","712",12
"714","713",6
"715","714",13
"716","715",7
"717","716",11
"718","717",9
"719","718",10
"720","719",5
"721","720",10
"722","721",5
"723","722",13
"724","723",7
"725","724",5
"726","725",9
"727","726",5
"728","727",6
"729","728",13
"730","729",9
"731","730",12
"732","731",5
"733","732",7
"734","733",9
"735","734",6
"736","735",7
"737","736",8
"738","737",5
"739","738",10
"740","739",6
"741","740",8
"742","741",4
"743","742",9
"744","743",3
"745","744",15
"746","745",5
"747","746",9
"748","747",9
"749","748",5
"750","749",6
"751","750",8
"752","751",4
"753","752",4
"754","753",7
"755","754",9
"756","755",6
"757","756",5
"758","757",9
"759","758",8
"760","759",6
"761","760",3
"762","761",11
"763","762",7
"764","763",9
"765","764",10
"766","765",7
"767","766",8
"768","767",9
"769","768",9
"770","769",5
"771","770",5
"772","771",9
"773","772",8
"774","773",6
"775","774",8
"776","775",9
"777","776",5
"778","777",6
"779","778",5
"780","779",5
"781","780",6
"782","781",9
"783","782",3
"784","783",5
"785","784",5
"786","785",2
"787","786",7
"788","787",11
"789","788",13
"790","789",5
"791","790",6
"792","791",3
"793","792",7
"794","793",5
"795","794",4
"796","795",6
"797","796",9
"798","797",4
"799","798",5
"800","799",7
"801","800",9
"802","801",5
"803","802",4
"804","803",5
"805","804",5
"806","805",5
"807","806",5
"808","807",3
"809","808",12
"810","809",5
"811","810",5
"812","811",4
"813","812",6
"814","813",7
"815","814",6
"816","815",7
"817","816",8
"818","817",4
"819","818",4
"820","819",6
"821","820",7
"822","821",5
"823","822",1
"824","823",3
"825","824",7
"826","825",7
"827","826",4
"828","827",7
"829","828",4
"830","829",9
"831","830",4
"832","831",2
"833","832",5
"834","833",6
"835","834",9
"836","835",11
"837","836",7
"838","837",8
"839","838",6
"840","839",1
"841","840",3
"842","841",5
"843","843",5
"844","844",9
"845","845",4
"846","846",4
"847","847",6
"848","848",2
"849","849",5
"850","850",8
"851","851",6
"852","852",3
"853","853",5
"854","854",8
"855","855",7
"856","856",5
"857","857",6
"858","858",4
"859","859",4
"860","860",7
"861","861",5
"862","862",6
"863","863",4
"864","864",3
"865","865",5
"866","866",2
"867","867",8
"868","868",3
"869","869",5
"870","870",4
"871","871",6
"872","872",3
"873","873",6
"874","874",5
"875","875",6
"876","876",3
"877","877",3
"878","878",6
"879","879",1
"880","880",4
"881","881",6
"882","882",11
"883","883",2
"884","884",7
"885","885",7
"886","886",4
"887","888",5
"888","889",4
"889","890",4
"890","891",5
"891","892",2
"892","893",5
"893","894",4
"894","895",10
"895","896",4
"896","897",6
"897","898",5
"898","899",5
"899","900",2
"900","901",6
"901","902",6
"902","903",6
"903","904",5
"904","905",3
"905","906",5
"906","907",3
"907","908",6
"908","909",1
"909","910",3
"910","911",7
"911","912",5
"912","913",3
"913","914",2
"914","915",3
"915","916",6
"916","917",4
"917","918",5
"918","919",4
"919","920",5
"920","921",5
"921","922",5
"922","923",5
"923","924",8
"924","925",5
"925","926",3
"926","927",2
"927","928",2
"928","929",5
"929","930",4
"930","931",3
"931","932",1
"932","933",2
"933","934",1
"934","935",9
"935","936",3
"936","937",4
"937","938",3
"938","939",3
"939","940",3
"940","941",2
"941","942",5
"942","943",3
"943","944",4
"944","945",4
"945","946",2
"946","947",1
"947","948",2
"948","949",3
"949","950",2
"950","951",5
"951","952",8
"952","953",7
"953","954",2
"954","955",5
"955","956",5
"956","957",6
"957","958",6
"958","959",3
"959","960",1
"960","961",5
"961","962",2
"962","963",4
"963","964",1
"964","965",5
"965","966",3
"966","967",3
"967","968",8
"968","969",2
"969","970",3
"970","971",3
"971","972",1
"972","973",6
"973","974",3
"974","975",1
"975","976",2
"976","977",3
"977","978",3
"978","979",2
"979","980",1
"980","981",4
"981","982",2
"982","983",2
"983","984",10
"984","985",4
"985","986",3
"986","987",1
"987","988",3
"988","989",1
"989","990",3
"990","991",1
"991","992",2
"992","993",3
"993","994",3
"994","995",1
"995","996",3
"996","997",4
"997","998",3
"998","999",1
"999","1000",5
"1000","1001",4
"1001","1002",5
"1002","1003",2
"1003","1005",2
"1004","1006",2
"1005","1007",6
"1006","1008",3
"1007","1009",4
"1008","1010",3
"1009","1011",4
"1010","1012",4
"1011","1013",5
"1012","1014",3
"1013","1015",6
"1014","1017",5
"1015","1018",4
"1016","1019",4
"1017","1020",2
"1018","1021",1
"1019","1022",4
"1020","1023",2
"1021","1024",1
"1022","1025",3
"1023","1026",2
"1024","1027",3
"1025","1028",4
"1026","1029",2
"1027","1030",5
"1028","1031",2
"1029","1032",7
"1030","1033",1
"1031","1034",5
"1032","1035",1
"1033","1036",6
"1034","1037",4
"1035","1038",3
"1036","1039",3
"1037","1040",3
"1038","1041",2
"1039","1042",3
"1040","1044",4
"1041","1045",3
"1042","1046",3
"1043","1047",1
"1044","1048",2
"1045","1049",1
"1046","1051",5
"1047","1052",3
"1048","1053",1
"1049","1054",1
"1050","1055",2
"1051","1056",4
"1052","1057",3
"1053","1058",3
"1054","1059",3
"1055","1060",4
"1056","1061",1
"1057","1062",4
"1058","1063",8
"1059","1064",5
"1060","1065",1
"1061","1066",1
"1062","1067",1
"1063","1068",2
"1064","1070",2
"1065","1073",3
"1066","1074",3
"1067","1075",2
"1068","1076",3
"1069","1077",3
"1070","1078",3
"1071","1079",1
"1072","1080",5
"1073","1081",5
"1074","1082",2
"1075","1083",2
"1076","1084",3
"1077","1085",1
"1078","1086",2
"1079","1087",2
"1080","1088",2
"1081","1089",2
"1082","1090",3
"1083","1091",5
"1084","1092",4
"1085","1093",3
"1086","1094",4
"1087","1095",1
"1088","1096",2
"1089","1097",2
"1090","1098",2
"1091","1099",2
"1092","1100",2
"1093","1101",5
"1094","1102",3
"1095","1103",2
"1096","1104",1
"1097","1105",1
"1098","1106",6
"1099","1107",1
"1100","1108",2
"1101","1109",3
"1102","1110",2
"1103","1111",3
"1104","1112",1
"1105","1113",1
"1106","1114",2
"1107","1117",1
"1108","1118",3
"1109","1119",2
"1110","1120",4
"1111","1121",6
"1112","1122",1
"1113","1123",2
"1114","1124",1
"1115","1125",1
"1116","1126",4
"1117","1127",3
"1118","1128",1
"1119","1129",1
"1120","1130",6
"1121","1131",1
"1122","1132",1
"1123","1133",3
"1124","1134",4
"1125","1135",4
"1126","1136",1
"1127","1137",1
"1128","1138",4
"1129","1139",3
"1130","1140",1
"1131","1141",4
"1132","1142",2
"1133","1143",4
"1134","1144",3
"1135","1145",2
"1136","1147",1
"1137","1148",4
"1138","1149",2
"1139","1150",3
"1140","1151",3
"1141","1152",3
"1142","1153",2
"1143","1154",1
"1144","1156",6
"1145","1158",1
"1146","1159",1
"1147","1160",1
"1148","1161",4
"1149","1162",3
"1150","1164",3
"1151","1165",5
"1152","1166",4
"1153","1167",2
"1154","1168",1
"1155","1169",2
"1156","1170",1
"1157","1171",3
"1158","1173",4
"1159","1174",1
"1160","1175",2
"1161","1176",3
"1162","1178",3
"1163","1179",1
"1164","1180",1
"1165","1181",5
"1166","1182",4
"1167","1183",3
"1168","1184",3
"1169","1185",2
"1170","1186",2
"1171","1187",5
"1172","1190",2
"1173","1191",1
"1174","1192",2
"1175","1193",3
"1176","1195",2
"1177","1196",2
"1178","1199",4
"1179","1200",3
"1180","1201",3
"1181","1202",1
"1182","1203",3
"1183","1204",2
"1184","1205",4
"1185","1206",4
"1186","1207",3
"1187","1208",2
"1188","1209",2
"1189","1210",3
"1190","1211",1
"1191","1212",3
"1192","1213",1
"1193","1217",2
"1194","1218",1
"1195","1220",1
"1196","1221",1
"1197","1222",3
"1198","1223",3
"1199","1224",3
"1200","1225",1
"1201","1226",4
"1202","1227",1
"1203","1230",1
"1204","1231",2
"1205","1232",3
"1206","1233",1
"1207","1234",1
"1208","1236",2
"1209","1237",2
"1210","1238",2
"1211","1239",1
"1212","1240",1
"1213","1241",4
"1214","1242",4
"1215","1243",2
"1216","1244",2
"1217","1245",1
"1218","1246",1
"1219","1248",2
"1220","1249",2
"1221","1250",1
"1222","1252",1
"1223","1254",1
"1224","1255",1
"1225","1256",1
"1226","1257",1
"1227","1258",2
"1228","1259",4
"1229","1261",1
"1230","1262",1
"1231","1263",1
"1232","1265",2
"1233","1266",1
"1234","1268",2
"1235","1269",2
"1236","1271",1
"1237","1272",5
"1238","1273",1
"1239","1275",1
"1240","1276",2
"1241","1277",2
"1242","1279",1
"1243","1282",1
"1244","1283",1
"1245","1284",1
"1246","1286",1
"1247","1287",2
"1248","1288",3
"1249","1290",3
"1250","1291",1
"1251","1293",1
"1252","1294",1
"1253","1296",1
"1254","1297",4
"1255","1298",1
"1256","1302",1
"1257","1303",2
"1258","1306",1
"1259","1307",4
"1260","1309",2
"1261","1310",1
"1262","1311",2
"1263","1313",1
"1264","1314",1
"1265","1318",1
"1266","1319",1
"1267","1321",2
"1268","1323",1
"1269","1326",1
"1270","1327",1
"1271","1328",1
"1272","1329",3
"1273","1330",2
"1274","1331",1
"1275","1332",1
"1276","1333",1
"1277","1334",2
"1278","1336",3
"1279","1337",1
"1280","1339",2
"1281","1340",2
"1282","1341",2
"1283","1342",1
"1284","1343",1
"1285","1344",2
"1286","1345",1
"1287","1346",2
"1288","1347",1
"1289","1348",1
"1290","1349",1
"1291","1352",1
"1292","1353",2
"1293","1357",2
"1294","1359",2
"1295","1360",3
"1296","1361",1
"1297","1363",3
"1298","1364",2
"1299","1365",2
"1300","1366",2
"1301","1368",1
"1302","1369",2
"1303","1370",1
"1304","1372",1
"1305","1373",2
"1306","1374",1
"1307","1376",1
"1308","1377",1
"1309","1380",1
"1310","1381",1
"1311","1386",2
"1312","1387",1
"1313","1388",2
"1314","1389",3
"1315","1390",1
"1316","1391",1
"1317","1392",3
"1318","1393",1
"1319","1395",1
"1320","1397",1
"1321","1399",1
"1322","1403",1
"1323","1404",1
"1324","1405",1
"1325","1407",1
"1326","1408",3
"1327","1409",2
"1328","1410",3
"1329","1412",1
"1330","1416",2
"1331","1417",1
"1332","1419",1
"1333","1420",1
"1334","1422",4
"1335","1423",2
"1336","1424",2
"1337","1425",2
"1338","1426",2
"1339","1431",1
"1340","1432",1
"1341","1434",2
"1342","1435",1
"1343","1437",1
"1344","1438",1
"1345","1439",1
"1346","1440",1
"1347","1441",2
"1348","1446",2
"1349","1447",1
"1350","1448",3
"1351","1449",2
"1352","1451",2
"1353","1452",3
"1354","1456",1
"1355","1460",1
"1356","1461",2
"1357","1462",2
"1358","1463",1
"1359","1464",1
"1360","1467",3
"1361","1468",1
"1362","1469",1
"1363","1471",1
"1364","1472",2
"1365","1473",2
"1366","1476",3
"1367","1478",1
"1368","1484",1
"1369","1486",2
"1370","1487",1
"1371","1488",1
"1372","1489",1
"1373","1490",1
"1374","1491",1
"1375","1492",2
"1376","1495",1
"1377","1499",1
"1378","1500",1
"1379","1502",1
"1380","1503",3
"1381","1504",1
"1382","1508",1
"1383","1512",1
"1384","1514",1
"1385","1516",2
"1386","1519",1
"1387","1521",1
"1388","1528",2
"1389","1529",2
"1390","1531",2
"1391","1532",2
"1392","1534",1
"1393","1536",1
"1394","1540",2
"1395","1541",1
"1396","1543",1
"1397","1545",1
"1398","1548",1
"1399","1550",1
"1400","1551",1
"1401","1553",1
"1402","1554",2
"1403","1555",2
"1404","1556",1
"1405","1558",1
"1406","1559",1
"1407","1560",2
"1408","1563",1
"1409","1567",1
"1410","1569",1
"1411","1571",1
"1412","1573",2
"1413","1574",2
"1414","1576",4
"1415","1579",3
"1416","1580",1
"1417","1581",1
"1418","1584",1
"1419","1594",1
"1420","1597",1
"1421","1598",2
"1422","1600",1
"1423","1602",1
"1424","1603",1
"1425","1606",1
"1426","1608",1
"1427","1611",1
"1428","1613",1
"1429","1616",1
"1430","1617",1
"1431","1622",1
"1432","1623",1
"1433","1628",1
"1434","1635",1
"1435","1642",1
"1436","1649",1
"1437","1650",1
"1438","1656",1
"1439","1658",1
"1440","1661",1
"1441","1662",1
"1442","1663",1
"1443","1665",1
"1444","1666",1
"1445","1669",1
"1446","1677",1
"1447","1681",1
"1448","1687",1
"1449","1689",1
"1450","1691",1
"1451","1692",1
"1452","1697",2
"1453","1702",1
"1454","1707",1
"1455","1710",1
"1456","1713",1
"1457","1720",3
"1458","1721",2
"1459","1723",1
"1460","1727",1
"1461","1730",1
"1462","1735",2
"1463","1739",1
"1464","1740",1
"1465","1745",2
"1466","1767",1
"1467","1776",2
"1468","1777",1
"1469","1778",1
"1470","1789",1
"1471","1790",1
"1472","1792",1
"1473","1804",1
"1474","1805",1
"1475","1806",2
"1476","1809",1
"1477","1812",1
"1478","1816",1
"1479","1817",1
"1480","1820",1
"1481","1823",1
"1482","1833",1
"1483","1834",1
"1484","1835",1
"1485","1837",1
"1486","1842",1
"1487","1855",2
"1488","1859",1
"1489","1865",1
"1490","1867",1
"1491","1869",1
"1492","1871",2
"1493","1875",1
"1494","1877",2
"1495","1880",1
"1496","1882",1
"1497","1906",1
"1498","1914",1
"1499","1916",1
"1500","1917",1
"1501","1925",1
"1502","1934",1
"1503","1946",1
"1504","1957",1
"1505","1960",1
"1506","1962",1
"1507","1966",1
"1508","1970",1
"1509","1971",1
"1510","1972",1
"1511","1973",1
"1512","1975",1
"1513","1978",1
"1514","1980",1
"1515","1992",1
"1516","1994",1
"1517","2015",1
"1518","2016",2
"1519","2027",1
"1520","2028",1
"1521","2029",1
"1522","2033",1
"1523","2053",2
"1524","2055",1
"1525","2062",1
"1526","2078",1
"1527","2087",1
"1528","2093",1
"1529","2129",1
"1530","2150",1
"1531","2177",1
"1532","2184",1
"1533","2187",1
"1534","2191",1
"1535","2201",1
"1536","2219",1
"1537","2231",1
"1538","2241",1
"1539","2256",1
"1540","2260",1
"1541","2301",1
"1542","2330",1
"1543","2372",1
"1544","2389",1
"1545","2420",1
"1546","2429",1
"1547","2453",1
"1548","2456",1
"1549","2462",1
"1550","2485",1
"1551","2516",1
"1552","2621",1
"1553","2635",1
"1554","2653",1
"1555","2692",1
"1556","2769",1
"1557","2770",1
"1558","2775",1
"1559","2870",1
"1560","3025",1
"1561","3076",1
"1562","3078",1
"1563","3094",1
"1564","3102",1
"1565","3183",1
"1566","3253",1
"1567","3284",1
"1568","3322",1
"1569","3366",1
"1570","3422",1
"1571","3785",1
"1572","3881",1
"1573","4918",1
