"","x"
"362",1263
"363",8
"364",126
"365",230
"366",841
"367",308
"368",1
"369",86
"370",157
"371",22
"372",46
"373",1293
"374",122
"375",131
"376",143
"377",393
"378",98
"379",0
"380",224
"381",757
"382",245
"383",8486
"384",350
"385",20
"386",1667
"387",345
"388",10
"389",830
"390",29
"391",545
"392",8730
"393",477
"394",4
"395",1205
"396",0
"397",263
"398",1
"399",283
"400",206
"401",17
"402",141
"403",16
"404",206
"405",7
"406",0
"407",0
"408",1927
"409",284
"410",1660
"411",406
"412",230
"413",-25
"414",182
"415",1169
"416",67
"417",77
"418",0
"419",55
"420",72
"421",163
"422",151
"423",113
"424",0
"425",9
"426",375
"427",1142
"428",2102
"429",4325
"430",217
"431",131
"432",1680
"433",0
"434",46
"435",320
"436",183
"437",39
"438",560
"439",469
"440",530
"441",61
"442",242
"443",139
"444",0
"445",367
"446",228
"447",45248
"448",-84
"449",310
"450",132
"451",797
"452",71
"453",2
"454",231
"455",270
"456",274
"457",-109
"458",1
"459",-60
"460",89
"461",-11
"462",0
"463",-509
"464",408
"465",58
"466",1640
"467",20
"468",71
"469",52
"470",292
"471",424
"472",109
"473",1044
"474",983
"475",869
"476",668
"477",964
"478",301
"479",140
"480",1877
"481",1127
"482",871
"483",767
"484",0
"485",209
"486",0
"487",110
"488",-76
"489",178
"490",-66
"491",0
"492",1
"493",0
"494",5345
"495",-209
"496",0
"497",42
"498",41
"499",-99
"500",17
"501",276
"502",-170
"503",230
"504",9
"505",946
"506",1297
"507",-331
"508",44
"509",15
"510",712
"511",5435
"512",507
"513",387
"514",0
"515",1716
"516",167
"517",40
"518",148
"519",17
"520",1011
"521",1527
"522",744
"523",484
"524",0
"525",136
"526",1335
"527",517
"528",459
"529",549
"530",83
"531",213
"532",203
"533",518
"534",3877
"535",1236
"536",756
"537",157
"538",-66
"539",245
"540",-144
"541",71
"542",505
"543",249
"544",0
"545",11
"546",639
"547",124
"548",82
"549",107
"550",473
"551",372
"552",46
"553",34
"554",935
"555",-10
"556",-106
"557",471
"558",778
"559",170
"560",315
"561",3165
"562",131
"563",204
"564",83
"565",0
"566",5431
"567",1759
"568",-125
"569",0
"570",5090
"571",573
"572",1602
"573",-137
"574",0
"575",193
"576",195
"577",288
"578",19
"579",25
"580",216
"581",190
"582",99
"583",2298
"584",17
"585",0
"586",0
"587",840
"588",358
"589",0
"590",-325
"591",-15
"592",581
"593",4070
"594",74
"595",141
"596",89
"597",0
"598",450
"599",310
"600",0
"601",384
"602",395
"603",-118
"604",5
"605",50
"606",285
"607",15
"608",653
"609",918
"610",243
"611",405
"612",1328
"613",255
"614",3397
"615",2106
"616",2877
"617",60
"618",2226
"619",2880
"620",-5
"621",147
"622",7
"623",109
"624",-119
"625",484
"626",1852
"627",533
"628",21
"629",2434
"630",90
"631",4246
"632",395
"633",15
"634",85
"635",-184
"636",660
"637",-183
"638",1144
"639",1
"640",69
"641",220
"642",332
"643",240
"644",0
"645",0
"646",898
"647",123
"648",252
"649",65
"650",-366
"651",209
"652",221
"653",4
"654",104
"655",312
"656",-349
"657",4
"658",-322
"659",-150
"660",1349
"661",281
"662",1259
"663",101
"664",848
"665",89
"666",140
"667",148
"668",200
"669",46
"670",201
"671",530
"672",0
"673",1
"674",43
"675",-173
"676",389
"677",215
"678",-131
"679",783
"680",0
"681",80
"682",105
"683",182
"684",82
"685",0
"686",510
"687",242
"688",244
"689",92
"690",0
"691",948
"692",23
"693",710
"694",1205
"695",368
"696",1631
"697",6
"698",26
"699",-48
"700",2142
"701",77
"702",401
"703",21
"704",0
"705",-497
"706",369
"707",78
"708",226
"709",503
"710",372
"711",0
"712",0
"713",125
"714",4
"715",419
"716",322
"717",303
"718",607
"719",579
"720",3047
"721",83
"722",68
"723",58
"724",251
"725",688
"726",364
"727",55
"728",101
"729",105
"730",325
"731",198
"732",209
"733",183
"734",105
"735",109
"736",376
"737",-7
"738",0
"739",143
"740",550
"741",162
"742",115
"743",512
"744",807
"745",248
"746",1211
"747",7
"748",281
"749",88
"750",32
"751",115
"752",254
"753",144
"754",383
"755",569
"756",0
"757",3754
"758",6920
"759",307
"760",-421
"761",60
"762",67
"763",402
"764",800
"765",239
"766",421
"767",161
"768",289
"769",110
"770",245
"771",0
"772",156
"773",0
"774",20
"775",92
"776",89
"777",166
"778",103
"779",-454
"780",445
"781",4
"782",1001
"783",-69
"784",42
"785",1617
"786",221
"787",210
"788",0
"789",185
"790",836
"791",301
"792",503
"793",407
"794",53
"795",2303
"796",144
"797",205
"798",305
"799",251
"800",0
"801",8
"802",139
"803",184
"804",238
"805",0
"806",0
"807",222
"808",414
"809",223
"810",197
"811",-251
"812",-139
"813",733
"814",0
"815",1
"816",97
"817",435
"818",0
"819",147
"820",3
"821",1109
"822",404
"823",981
"824",95
"825",302
"826",-290
"827",259
"828",527
"829",102
"830",872
"831",490
"832",19
"833",16
"834",386
"835",539
"836",-329
"837",-174
"838",68
"839",-532
"840",0
"841",64
"842",1415
"843",147
"844",72
"845",-196
"846",716
"847",0
"848",-246
"849",-203
"850",245
"851",342
"852",3
"853",-248
"854",376
"855",370
"856",594
"857",387
"858",208
"859",563
"860",392
"861",165
"862",236
"863",52
"864",1265
"865",693
"866",118
"867",3659
"868",24
"869",673
"870",273
"871",327
"872",299
"873",0
"874",109
"875",552
"876",473
"877",414
"878",154
"879",344
"880",8
"881",78
"882",266
"883",98
"884",83
"885",45
"886",8
"887",263
"888",306
"889",233
"890",447
"891",872
"892",-291
"893",309
"894",202
"895",56
"896",229
"897",143
"898",100
"899",326
"900",167
"901",545
"902",2100
"903",0
"904",192
"905",442
"906",267
"907",0
"908",377
"909",7624
"910",66
"911",37
"912",64
"913",34
"914",627
"915",1013
"916",140
"917",8823
"918",97
"919",5
"920",74
"921",58544
"922",169
"923",444
"924",542
"925",-205
"926",112
"927",39
"928",1268
"929",-98
"930",44
"931",-90
"932",0
"933",-94
"934",-345
"935",-932
"936",20
"937",90
"938",31
"939",134
"940",0
"941",61
"942",-5
"943",-45
"944",156
"945",564
"946",-6
"947",528
"948",1481
"949",2019
"950",1855
"951",147
"952",220
"953",198
"954",115
"955",87
"956",644
"957",225
"958",502
"959",-32
"960",106
"961",301
"962",906
"963",187
"964",852
"965",143
"966",71
"967",1496
"968",703
"969",732
"970",21
"971",276
"972",0
"973",550
"974",268
"975",-825
"976",137
"977",42
"978",54
"979",1716
"980",270
"981",803
"982",102
"983",188
"984",207
"985",1466
"986",350
"987",159
"988",157
"989",0
"990",91
"991",849
"992",436
"993",-1
"994",297
"995",313
"996",310
"997",475
"998",61
"999",1377
"1000",56
"1001",0
"1002",73
"1003",660
"1004",-79
"1005",558
"1006",342
"1007",-4
"1008",225
"1009",267
"1010",46
"1011",624
"1012",1107
"1013",573
"1014",406
"1015",220
"1016",2308
"1017",139
"1018",367
"1019",278
"1020",229
"1021",1722
"1022",-500
"1023",308
"1024",1026
"1025",548
"1026",356
"1027",164
"1028",211
"1029",19
"1030",108
"1031",308
"1032",7
"1033",16
"1034",867
"1035",277
"1036",196
"1037",365
"1038",1310
"1039",186
"1040",148
"1041",862
"1042",359
"1043",190
"1044",4
"1045",0
"1046",42
"1047",2605
"1048",60
"1049",98
"1050",-181
"1051",118
"1052",-15
"1053",671
"1054",1557
"1055",-20
"1056",323
"1057",-171
"1058",438
"1059",316
"1060",174
"1061",442
"1062",786
"1063",-317
"1064",667
"1065",-158
"1066",72
"1067",58
"1068",396
"1069",10
"1070",2887
"1071",0
"1072",89
"1073",50
"1074",29
"1075",420
"1076",114
"1077",365
"1078",0
"1079",-24
"1080",743
"1081",0
"1082",99
"1083",22
"1084",251
"1085",615
"1086",136
"1087",2167
"1088",309
"1089",221
"1090",321
"1091",-33
"1092",76
"1093",42
"1094",76
"1095",1293
"1096",526
"1097",873
"1098",40
"1099",117
"1100",671
"1101",145
"1102",1807
"1103",-212
"1104",133
"1105",566
"1106",1924
"1107",145
"1108",487
"1109",-57
"1110",81
"1111",-227
"1112",2710
"1113",98
"1114",1230
"1115",78
"1116",137
"1117",354
"1118",149
"1119",126
"1120",0
"1121",8266
"1122",51
"1123",258
"1124",117
"1125",199
"1126",219
"1127",1571
"1128",223
"1129",-79
"1130",321
"1131",2527
"1132",5
"1133",20
"1134",1045
"1135",1
"1136",3
"1137",-55
"1138",141
"1139",374
"1140",93
"1141",460
"1142",78
"1143",135
"1144",367
"1145",248
"1146",630
"1147",-30
"1148",157
"1149",268
"1150",164
"1151",-97
"1152",53
"1153",788
"1154",1904
"1155",260
"1156",447
"1157",720
"1158",2827
"1159",0
"1160",1117
"1161",597
"1162",362
"1163",120
"1164",89
"1165",442
"1166",111
"1167",247
"1168",1
"1169",6
"1170",-947
"1171",191
"1172",-147
"1173",703
"1174",70
"1175",83
"1176",125
"1177",190
"1178",46
"1179",1348
"1180",420
"1181",96
"1182",271
"1183",1320
"1184",54
"1185",198
"1186",1094
"1187",141
"1188",207
"1189",-206
"1190",177
"1191",176
"1192",-413
"1193",-81
"1194",3837
"1195",870
"1196",206
"1197",316
"1198",57
"1199",1
"1200",-7
"1201",611
"1202",157
"1203",233
"1204",419
"1205",134
"1206",2087
"1207",103
"1208",281
"1209",133
"1210",1865
"1211",325
"1212",-18
"1213",49
"1214",7444
"1215",59
"1216",45
"1217",387
"1218",5
"1219",71
"1220",96
"1221",72
"1222",1715
"1223",181
"1224",20
"1225",65
"1226",81
"1227",226
"1228",1128
"1229",582
"1230",5611
"1231",177
"1232",181
"1233",0
"1234",734
"1235",322
"1236",134
"1237",10350
"1238",84
"1239",620
"1240",254
"1241",0
"1242",5903
"1243",134
"1244",1381
"1245",104
"1246",318
"1247",2151
"1248",-8
"1249",185
"1250",1773
"1251",40
"1252",44
"1253",0
"1254",0
"1255",3058
"1256",130
"1257",507
"1258",844
"1259",458
"1260",-744
"1261",-2
"1262",129
"1263",411
"1264",643
"1265",391
"1266",80
"1267",10
"1268",114
"1269",1
"1270",1341
"1271",4
"1272",2770
"1273",5956
"1274",55
"1275",131
"1276",1942
"1277",298
"1278",291
"1279",85
"1280",797
"1281",152
"1282",481
"1283",66
"1284",4586
"1285",1798
"1286",220
"1287",715
"1288",442
"1289",85
"1290",319
"1291",-29
"1292",303
"1293",2398
"1294",31
"1295",1832
"1296",2019
"1297",3
"1298",397
"1299",1161
"1300",777
"1301",47
"1302",-58
"1303",1513
"1304",121
"1305",904
"1306",697
"1307",841
"1308",7317
"1309",-95
"1310",751
"1311",250
"1312",365
"1313",1315
"1314",65
"1315",1852
"1316",-84
"1317",36
"1318",125
"1319",0
"1320",105
"1321",432
"1322",555
"1323",-24
"1324",2261
"1325",804
"1326",-617
"1327",-1
"1328",237
"1329",514
"1330",1988
"1331",491
"1332",675
"1333",177
"1334",340
"1335",230
"1336",0
"1337",2331
"1338",0
"1339",217
"1340",186
"1341",168
"1342",145
"1343",140
"1344",-22
"1345",389
"1346",323
"1347",6
"1348",225
"1349",142
"1350",5
"1351",174
"1352",-768
"1353",30
"1354",968
"1355",47
"1356",0
"1357",91
"1358",-77
"1359",486
"1360",341
"1361",50
"1362",205
"1363",762
"1364",31
"1365",-581
"1366",-45
"1367",0
"1368",120
"1369",335
"1370",-232
"1371",785
"1372",28
"1373",2067
"1374",448
"1375",37
"1376",301
"1377",668
"1378",115
"1379",275
"1380",414
"1381",3
"1382",496
"1383",150
"1384",163
"1385",1322
"1386",1713
"1387",242
"1388",-29
"1389",381
"1390",82
"1391",21
"1392",1801
"1393",640
"1394",113
"1395",1042
"1396",240
"1397",-244
"1398",70
"1399",-339
"1400",59
"1401",1222
"1402",-41
"1403",0
"1404",6
"1405",4
"1406",20
"1407",846
"1408",338
"1409",90
"1410",406
"1411",2
"1412",2211
"1413",87
"1414",178
"1415",185
"1416",-210
"1417",388
"1418",1
"1419",879
"1420",214
"1421",698
"1422",1601
"1423",717
"1424",255
"1425",375
"1426",587
"1427",644
"1428",0
"1429",-275
"1430",116
"1431",37
"1432",753
"1433",162
"1434",984
"1435",199
"1436",241
"1437",648
"1438",907
"1439",6322
"1440",125
"1441",90
"1442",54
"1443",-132
"1444",267
"1445",289
"1446",613
"1447",618
"1448",1786
"1449",607
"1450",586
"1451",459
"1452",298
"1453",134
"1454",34
"1455",1378
"1456",417
"1457",25
"1458",22
"1459",398
"1460",1164
"1461",487
"1462",1069
"1463",-192
"1464",0
"1465",332
"1466",121
"1467",68
"1468",-176
"1469",527
"1470",193
"1471",7601
"1472",751
"1473",495
"1474",670
"1475",363
"1476",376
"1477",292
"1478",0
"1479",184
"1480",80
"1481",1824
"1482",2850
"1483",48
"1484",76
"1485",336
"1486",0
"1487",433
"1488",103
"1489",1164
"1490",129
"1491",5873
"1492",0
"1493",82
"1494",362
"1495",186
"1496",1216
"1497",704
"1498",205
"1499",830
"1500",-315
"1501",64
"1502",-820
"1503",538
"1504",948
"1505",1288
"1506",70
"1507",393
"1508",365
"1509",879
"1510",491
"1511",0
"1512",0
"1513",229
"1514",22
"1515",570
"1516",56
"1517",118
"1518",106
"1519",1768
"1520",213
"1521",381
"1522",1147
"1523",373
"1524",50
"1525",67
"1526",0
"1527",61
"1528",504
"1529",177
"1530",584
"1531",-732
"1532",572
"1533",105
"1534",0
"1535",832
"1536",2642
"1537",195
"1538",718
"1539",336
"1540",332
"1541",1
"1542",-138
"1543",749
"1544",14
"1545",177
"1546",557
"1547",126
"1548",359
"1549",496
"1550",72
"1551",175
"1552",430
"1553",574
"1554",69
"1555",106
"1556",0
"1557",23
"1558",42
"1559",429
"1560",88
"1561",3932
"1562",177
"1563",468
"1564",639
"1565",2124
"1566",309
"1567",202
"1568",20
"1569",-17
"1570",-417
"1571",528
"1572",394
"1573",856
"1574",468
"1575",138
"1576",406
"1577",221
"1578",523
"1579",-52
"1580",397
"1581",-432
"1582",298
"1583",1080
"1584",-85
"1585",4012
"1586",123
"1587",498
"1588",23
"1589",-315
"1590",89
"1591",699
"1592",145
"1593",-138
"1594",491
"1595",820
"1596",1376
"1597",0
"1598",507
"1599",771
"1600",310
"1601",136
"1602",310
"1603",813
"1604",14
"1605",-97
"1606",332
"1607",5034
"1608",281
"1609",576
"1610",1891
"1611",473
"1612",216
"1613",-13
"1614",162
"1615",365
"1616",264
"1617",490
"1618",230
"1619",-9
"1620",317
"1621",458
"1622",19
"1623",536
"1624",117
"1625",368
"1626",-98
"1627",627
"1628",180
"1629",26
"1630",2171
"1631",-118
"1632",1059
"1633",186
"1634",1306
"1635",3007
"1636",-88
"1637",265
"1638",21
"1639",230
"1640",252
"1641",422
"1642",85
"1643",4286
"1644",0
"1645",60
"1646",687
"1647",40
"1648",22
"1649",-333
"1650",483
"1651",503
"1652",1245
"1653",117
"1654",33
"1655",-320
"1656",49
"1657",0
"1658",100
"1659",344
"1660",-286
"1661",57
"1662",370
"1663",470
"1664",0
"1665",767
"1666",1
"1667",0
"1668",121
"1669",190
"1670",120
"1671",2068
"1672",332
"1673",-322
"1674",274
"1675",3
"1676",6
"1677",288
"1678",146
"1679",286
"1680",114
"1681",190
"1682",111
"1683",246
"1684",108
"1685",187
"1686",457
"1687",131
"1688",1825
"1689",307
"1690",-198
"1691",739
"1692",759
"1693",777
"1694",378
"1695",337
"1696",-78
"1697",355
"1698",133
"1699",32
"1700",55
"1701",417
"1702",153
"1703",794
"1704",187
"1705",335
"1706",1407
"1707",-116
"1708",1842
"1709",329
"1710",428
"1711",181
"1712",2139
"1713",253
"1714",133
"1715",785
"1716",-45
"1717",223
"1718",2831
"1719",2412
"1720",11
"1721",211
"1722",34
"1723",222
"1724",3285
"1725",-67
"1726",670
"1727",0
"1728",96
"1729",-3
"1730",123
"1731",443
"1732",406
"1733",535
"1734",302
"1735",-43
"1736",-346
"1737",-271
"1738",55
"1739",375
"1740",-2
"1741",-680
"1742",0
"1743",217
"1744",160
"1745",118
"1746",-1
"1747",453
"1748",169
"1749",787
"1750",78
"1751",2269
"1752",213
"1753",164
"1754",934
"1755",4
"1756",354
"1757",23
"1758",318
"1759",-305
"1760",616
"1761",2590
"1762",1868
"1763",-578
"1764",-227
"1765",1981
"1766",404
"1767",65
"1768",-1
"1769",-68
"1770",0
"1771",229
"1772",1656
"1773",1342
"1774",331
"1775",238
"1776",202
"1777",318
"1778",-1124
"1779",662
"1780",1790
"1781",198
"1782",726
"1783",183
"1784",149
"1785",-91
"1786",-9
"1787",134
"1788",0
"1789",6259
"1790",27
"1791",383
"1792",1108
"1793",117
"1794",108
"1795",479
"1796",65
"1797",234
"1798",-53
"1799",-131
"1800",-39
"1801",139
"1802",262
"1803",160
"1804",186
"1805",-79
"1806",1113
"1807",82
"1808",321
"1809",1326
"1810",2257
"1811",1373
"1812",304
"1813",659
"1814",491
"1815",101
"1816",33
"1817",291
"1818",218
"1819",102
"1820",88
"1821",94
"1822",-665
"1823",-331
"1824",550
"1825",151
"1826",5406
"1827",269
"1828",2457
"1829",45
"1830",610
"1831",-133
"1832",66
"1833",10
"1834",350
"1835",546
"1836",360
"1837",6
"1838",0
"1839",22
"1840",57
"1841",1349
"1842",708
"1843",1329
"1844",7459
"1845",47
"1846",-516
"1847",0
"1848",433
"1849",9
"1850",-6
"1851",-197
"1852",184
"1853",336
"1854",36
"1855",277
"1856",452
"1857",-135
"1858",7
"1859",442
"1860",590
"1861",447
"1862",49
"1863",1118
"1864",390
"1865",-125
"1866",-97
"1867",18
"1868",131
"1869",527
"1870",1129
"1871",266
"1872",687
"1873",1726
"1874",-388
"1875",92
"1876",-11
"1877",1510
"1878",171
"1879",420
"1880",513
"1881",137
"1882",21
"1883",-312
"1884",-208
"1885",2
"1886",1033
"1887",855
"1888",781
"1889",542
"1890",-175
"1891",79
"1892",3
"1893",4471
"1894",2313
"1895",-139
"1896",300
"1897",-3313
"1898",352
"1899",105
"1900",164
"1901",-202
"1902",-256
"1903",1261
"1904",-503
"1905",790
"1906",0
"1907",638
"1908",47
"1909",242
"1910",469
"1911",271
"1912",948
"1913",-356
"1914",336
"1915",61
"1916",359
"1917",105
"1918",6809
"1919",59
"1920",0
"1921",0
"1922",216
"1923",2530
"1924",356
"1925",-228
"1926",198
"1927",510
"1928",223
"1929",4
"1930",338
"1931",0
"1932",328
"1933",255
"1934",304
"1935",-256
"1936",683
"1937",84
"1938",608
"1939",230
"1940",12
"1941",881
"1942",77
"1943",510
"1944",1555
"1945",68
"1946",43
"1947",244
"1948",1376
"1949",392
"1950",-396
"1951",89
"1952",10
"1953",150
"1954",1387
"1955",253
"1956",853
"1957",91
"1958",348
"1959",43
"1960",-178
"1961",2137
"1962",1160
"1963",3986
"1964",126
"1965",6411
"1966",655
"1967",2378
"1968",15
"1969",96
"1970",191
"1971",391
"1972",31
"1973",73
"1974",0
"1975",156
"1976",231
"1977",-83
"1978",138
"1979",221
"1980",3284
"1981",4190
"1982",5694
"1983",297
"1984",-89
"1985",244
"1986",152
"1987",1696
"1988",714
"1989",315
"1990",312
"1991",913
"1992",-407
"1993",338
"1994",-435
"1995",769
"1996",120
"1997",0
"1998",9569
"1999",351
"2000",2
"2001",226
"2002",95
"2003",123
"2004",15
"2005",375
"2006",1190
"2007",487
"2008",123
"2009",2272
"2010",133
"2011",447
"2012",-864
"2013",8
"2014",107
"2015",620
"2016",42
"2017",-120
"2018",493
"2019",296
"2020",6248
"2021",484
"2022",12
"2023",154
"2024",606
"2025",560
"2026",564
"2027",771
"2028",0
"2029",757
"2030",333
"2031",418
"2032",-256
"2033",494
"2034",85
"2035",127
"2036",69
"2037",713
"2038",-10
"2039",-294
"2040",222
"2041",86
"2042",0
"2043",26
"2044",103
"2045",-80
"2046",131
"2047",106
"2048",15
"2049",4542
"2050",172
"2051",0
"2052",107
"2053",15
"2054",101
"2055",304
"2056",7816
"2057",0
"2058",784
"2059",2581
"2060",507
"2061",333
"2062",-220
"2063",249
"2064",-257
"2065",210
"2066",18722
"2067",42
"2068",210
"2069",325
"2070",123
"2071",-25
"2072",66
"2073",0
"2074",409
"2075",4785
"2076",121
"2077",0
"2078",231
"2079",1135
"2080",-201
"2081",-278
"2082",16
"2083",-283
"2084",-103
"2085",113
"2086",194
"2087",247
"2088",-402
"2089",-40
"2090",3867
"2091",36
"2092",2167
"2093",243
"2094",2
"2095",737
"2096",286
"2097",311
"2098",541
"2099",2963
"2100",-871
"2101",75
"2102",2597
"2103",-454
"2104",0
"2105",304
"2106",220
"2107",561
"2108",211
"2109",4509
"2110",196
"2111",124
"2112",381
"2113",184
"2114",-149
"2115",-337
"2116",210
"2117",737
"2118",75
"2119",641
"2120",78
"2121",1558
"2122",227
"2123",602
"2124",798
"2125",1047
"2126",111
"2127",-439
"2128",37
"2129",362
"2130",1
"2131",304
"2132",-89
"2133",276
"2134",288
"2135",650
"2136",171
"2137",-302
"2138",337
"2139",891
"2140",199
"2141",997
"2142",108
"2143",40
"2144",208
"2145",6890
"2146",395
"2147",-214
"2148",496
"2149",183
"2150",199
"2151",179
"2152",434
"2153",122
"2154",371
"2155",3675
"2156",11
"2157",194
"2158",23
"2159",1011
"2160",446
"2161",-29
"2162",957
"2163",297
"2164",888
"2165",115
"2166",177
"2167",-28
"2168",951
"2169",5
"2170",586
"2171",-1445
"2172",-23
"2173",-284
"2174",1166
"2175",244
"2176",-72
"2177",1399
"2178",0
"2179",431
"2180",130
"2181",187
"2182",142
"2183",14
"2184",-219
"2185",275
"2186",5028
"2187",118
"2188",290
"2189",1064
"2190",904
"2191",628
"2192",13
"2193",450
"2194",-63
"2195",164
"2196",985
"2197",616
"2198",237
"2199",380
"2200",290
"2201",104
"2202",117
"2203",276
"2204",-475
"2205",838
"2206",382
"2207",624
"2208",396
"2209",5
"2210",18
"2211",-464
"2212",330
"2213",2087
"2214",-260
"2215",236
"2216",684
"2217",458
"2218",324
"2219",1052
"2220",37
"2221",454
"2222",573
"2223",34
"2224",341
"2225",31
"2226",-189
"2227",424
"2228",250
"2229",3165
"2230",387
"2231",855
"2232",944
"2233",134
"2234",2845
"2235",2420
"2236",1535
"2237",0
"2238",504
"2239",-329
"2240",94
"2241",538
"2242",-18
"2243",26
"2244",177
"2245",633
"2246",205
"2247",1114
"2248",78
"2249",762
"2250",1862
"2251",73
"2252",2576
"2253",470
"2254",206
"2255",0
"2256",-76
"2257",1750
"2258",1104
"2259",286
"2260",137
"2261",247
"2262",-43
"2263",309
"2264",339
"2265",218
"2266",4128
"2267",867
"2268",1345
"2269",40
"2270",1466
"2271",96
"2272",332
"2273",1474
"2274",783
"2275",239
"2276",27
"2277",-24
"2278",23
"2279",6386
"2280",-353
"2281",-474
"2282",714
"2283",570
"2284",16
"2285",1504
"2286",551
"2287",-759
"2288",1097
"2289",520
"2290",0
"2291",573
"2292",0
"2293",146
"2294",-37
"2295",90
"2296",0
"2297",1242
"2298",98
"2299",295
"2300",465
"2301",1473
"2302",3122
"2303",317
"2304",176
"2305",661
"2306",1
"2307",-12
"2308",1401
"2309",171
"2310",431
"2311",265
"2312",227
"2313",336
"2314",41
"2315",1554
"2316",141
"2317",762
"2318",650
"2319",250
"2320",130
"2321",11
"2322",36
"2323",333
"2324",487
"2325",594
"2326",1135
"2327",-3
"2328",-168
"2329",414
"2330",166
"2331",472
"2332",-95
"2333",158
"2334",8
"2335",296
"2336",-541
"2337",23
"2338",17
"2339",335
"2340",395
"2341",178
"2342",101
"2343",-428
"2344",24299
"2345",181
"2346",83
"2347",175
"2348",5
"2349",3185
"2350",2577
"2351",216
"2352",166
"2353",323
"2354",334
"2355",86
"2356",845
"2357",-126
"2358",-3
"2359",54
"2360",-192
"2361",125
"2362",2146
"2363",-522
"2364",99
"2365",-1664
"2366",2
"2367",2172
"2368",168
"2369",62
"2370",768
"2371",429
"2372",36
"2373",0
"2374",544
"2375",91
"2376",-3
"2377",1374
"2378",119
"2379",279
"2380",594
"2381",-121
"2382",-195
"2383",-208
"2384",309
"2385",210
"2386",135
"2387",66
"2388",-122
"2389",0
"2390",-90
"2391",286
"2392",-423
"2393",505
"2394",296
"2395",279
"2396",367
"2397",129
"2398",-13
"2399",1309
"2400",-10
